timestamp,account,issuer,currency,value
2019-01-07T21:06:21+00:00,rEELBxxtptug6vya7AMbNySD7KTGTXR5y4,rDAN8tzydyNfnNf2bfUQY6iR96UbpvNsze,ETC,1000000000
2019-01-07T21:06:32+00:00,rEELBxxtptug6vya7AMbNySD7KTGTXR5y4,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,BTC,1000000000
2019-01-07T21:06:41+00:00,rEELBxxtptug6vya7AMbNySD7KTGTXR5y4,rcyS4CeCZVYvTiKcxj6Sx32ibKwcDHLds,BCH,1000000000
2019-01-07T21:10:30+00:00,rp5iavYosm47kb49ku2k64ZSTGxipYNwZG,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,EUR,1000000000
2019-01-07T21:11:00+00:00,rp5iavYosm47kb49ku2k64ZSTGxipYNwZG,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,EUR,1000000000
2019-01-07T21:12:01+00:00,rBtovhdcFEmYCMFpeX7BmaYteS9FPnJ4z4,rPT74sUcTBTQhkHVD54WGncoqXEAMYbmH7,CNY,100000000
2019-01-07T21:12:42+00:00,rp5iavYosm47kb49ku2k64ZSTGxipYNwZG,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,USD,1000000000
2019-01-07T21:15:22+00:00,rpoiWPcWmSfhCy8X3LTtCxHqUZMMNg2UPc,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,EUR,1000000000
2019-01-07T21:19:41+00:00,ranGRmZaH9ec2ed6qhxggVJXZQN52yEhjZ,rDAN8tzydyNfnNf2bfUQY6iR96UbpvNsze,ETC,1000000000
2019-01-07T21:26:21+00:00,r9M8QprHFk1rBP8dmdc9Hzc8jCX453MdG9,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,USD,1000000000
2019-01-07T21:27:11+00:00,rwhPFGGmvfPmKt9kdXLmedhhqwhZiQEeLj,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,EUR,1000000000
2019-01-07T21:27:30+00:00,rwhPFGGmvfPmKt9kdXLmedhhqwhZiQEeLj,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,EUR,1000000000
2019-01-07T21:34:00+00:00,rHzEkDq4MAgKrJ4dns45gbaC2sVfZcwYPg,rcXY84C4g14iFp6taFXjjQGVeHqSCh9RX,DSH,0
2019-01-07T21:36:51+00:00,rapiduMn7r25qH7CwqQVLiGEWeiqQ9kMeT,rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B,USD,100000000
2019-01-07T22:05:50+00:00,rLWFaPWDHf28U6gfTp9bmkz3DNd6ikk1qT,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,EUR,1000000000
2019-01-07T22:05:50+00:00,rGvVjJUJ4x1nEo7uWQSZfgaSGS6cWnSQgc,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,EUR,1000000000
2019-01-07T22:05:52+00:00,r41QZ3rLeeDZQpbHimuhdyXBSgGR8JF12q,rcA8X3TVMST1n3CJeAdGk1RdRCHii7N2h,ETH,0
2019-01-07T22:06:10+00:00,r41QZ3rLeeDZQpbHimuhdyXBSgGR8JF12q,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,BTC,0
2019-01-07T22:06:21+00:00,r41QZ3rLeeDZQpbHimuhdyXBSgGR8JF12q,ruazs5h1qEsqpke88pcqnaseXdm6od2xc,GKO,0
2019-01-07T22:06:42+00:00,rGvVjJUJ4x1nEo7uWQSZfgaSGS6cWnSQgc,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,BTC,1000000000
2019-01-07T22:06:42+00:00,rLWFaPWDHf28U6gfTp9bmkz3DNd6ikk1qT,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,BTC,1000000000
2019-01-07T23:35:22+00:00,rsKw2989w2HyyyxD459sX1Fz9mePgC9rGS,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,USD,1000000000
2019-01-08T00:34:20+00:00,rDSmBo5xztxvUFrTbfDvbCkG5C3kURzLH,rcXY84C4g14iFp6taFXjjQGVeHqSCh9RX,DSH,0
2019-01-08T00:43:10+00:00,rcyyJdWuTcwyzuJevPFgE3RL32wQDUWfN,rckzVpTnKpP4TJ1puQe827bV3X4oYtdTP,REP,1000000000
2019-01-08T01:05:50+00:00,rpr5TWz8jv336W5HZB3shKFp3SuGH9TKm3,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,EUR,0
2019-01-08T01:11:51+00:00,rpr5TWz8jv336W5HZB3shKFp3SuGH9TKm3,rcyS4CeCZVYvTiKcxj6Sx32ibKwcDHLds,BCH,0
2019-01-08T01:14:41+00:00,rpr5TWz8jv336W5HZB3shKFp3SuGH9TKm3,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,EUR,1000000000
2019-01-08T01:23:22+00:00,rhMKmNRLsmb253qp26uzxMUCn1cTE4a28q,raujtsGHt5u8pv23VWFbhxhpJKHYmzp376,CNY,0
2019-01-08T01:34:20+00:00,rKgPZqgsG13FguDaLwUFondq6AzfUxCbvc,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,BTC,1000000000
